slug,voice,text,en
no-room-for-weak-masc,male,"هون ما في مجال تكون ضعيف.","Here, there’s no room to be weak."
lion-hyena-masc,male,"الأسد قوي، والضبع ضعيف.","The lion is strong, and the hyena is weak."
lion-hyena-fem,female,"الأسد قوي، والضبعة ضعيفة.","The lion is strong, and the hyena is weak."
weak-wood,male,"الخشب ضعيف، ما بيقدر يشيل وزن كبير.","The wood is weak, it can’t hold a lot of weight."
strong-iron,male,"الحديد قوي، ما بيكسر بسهولة.","The iron is strong, it doesn’t break easily."
weak-one-dies-masc,male,"الضعيف بيموت بسرعة، والقوي بيضل واقف.","The weak one dies quickly, and the strong one remains standing."
weak-one-dies-fem,female,"الضعيفة بتموت بسرعة، والقوية بتضل واقفة.","The weak one dies quickly, and the strong one remains standing."
weak-light,male,"الضوء ضعيف، ما في إضاءة كفاية.","The light is weak, there’s not enough illumination."
weak-argument,female,"الحجة ضعيفة، ما بتقنعني.","The argument is weak, it doesn’t convince me."
weak-one-faces-problems,male,"الضعيف ما بيقدر يواجه المشاكل.","The weak one can’t face problems."
his-argument-was-weak,female,"حجّته كانت ضعيفة، وما قدرت تصمد.","His argument was weak and couldn’t hold up."
